# Pathway	IN-B15-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B16-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B17-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B18-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B19-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B22-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B23-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B24-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B25-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B27-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B28-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B29-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B7-d94.sam.bam.filtered.sorted_merged_Abundance	N-B1-d94.sam.bam.filtered.sorted_merged_Abundance	N-B10-d94.sam.bam.filtered.sorted_merged_Abundance	N-B11-d94.sam.bam.filtered.sorted_merged_Abundance	N-B12-d94.sam.bam.filtered.sorted_merged_Abundance	N-B13-d94.sam.bam.filtered.sorted_merged_Abundance	N-B14-d94.sam.bam.filtered.sorted_merged_Abundance	N-B2-d94.sam.bam.filtered.sorted_merged_Abundance	N-B21-d94.sam.bam.filtered.sorted_merged_Abundance	N-B4-d94.sam.bam.filtered.sorted_merged_Abundance	N-B5-d94.sam.bam.filtered.sorted_merged_Abundance	N-B6-d94.sam.bam.filtered.sorted_merged_Abundance	N-B8-d94.sam.bam.filtered.sorted_merged_Abundance	N-B9-d94.sam.bam.filtered.sorted_merged_Abundance
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0.688381	0	1.29598	1.12466	1.69678	0	2.72037	0	5.42692	0	6.96314	0	0	0	2.50983	7.5001	1.29478	0	0	0	0	0	4.21468	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	16.3524	46.5488	22.1076	1.12164	0	3.70673	2.67251	2.24373	0	3.24787	0	2.70651	8.08148	0	62.0528	1.32328	0	1.07881	0	0	0	0	0	3.32851	3.34895	2.34337
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_plexicaudatum	0	0	0	0	53.5224	0	59.588	0	0	8.71974	0	0	0	0	0	0	0	0	68.4192	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_murinus	1.55328	12.1224	8.99652	7.47174	45.1211	12.0858	0	1.80449	5.53502	18.7934	0	0	8.34544	41.1515	286.747	16.7879	14.9754	15.0765	66.7388	87.1508	17.7316	37.2329	52.7978	77.4093	10.3899	15.5675
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_reuteri	0	16.4873	3.75788	6.94463	4.46711	56.0122	275.24	71.096	148.131	133.666	24.1677	189.946	14.1998	0	0	15.2641	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.25037	0	0	0	8.66109
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Parabacteroides.s__Parabacteroides_distasonis	25.34	98.5008	49.6903	0	44.9939	0	0	54.3297	0	0	20.4988	0	0	95.7077	25.6976	0	42.7301	14.5576	0	72.3636	102.396	97.6468	0	0	0	34.495
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	203.664	194.552	425.459	755.927	411.901	324.773	206.379	289.65	464.708	372.622	387.869	328.123	452.12	313.789	153.836	375.778	536.243	457.192	286.969	363.271	124.444	371.714	209.504	365.807	426.285	335.443
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	57.4886	43.616	31.0424	6.28317	1.31884	12.5686	8.14828	15.7731	1.0706	4.37394	2.54476	14.2406	44.7958	4.41419	46.8868	3.17383	18.3623	22.527	25.0627	2.91942	5.37174	21.742	4.84192	10.6929	10.5131	10.4989
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Escherichia.s__Escherichia_coli	22.6865	60.4976	26.1644	1.59914	0	5.6447	4.34055	6.75017	0	3.13056	3.15144	0	13.6189	1.86461	92.8219	0	0.89192	0	0	0	0	0	0	0	2.05548	2.45285
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.5302	60.9161	93.5686	0	0	0	0	0	0	0
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0.743977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOTOALL-PWY: oxygenic photosynthesis|unclassified	0	0	0	0	0	0	0	0	3.35515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	1.63606	0	0	0.605522	0.437448	0	0	0	0	0	0.345232	0	2.88921	0	0	0.386233	0	0	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	1.93425	2.39683	1.66746	0	0.629667	0.576046	0.419266	0.222487	0	0	1.61127	0.488401	0.332116	0	3.84914	0	0	0.353939	0	0	0	0	0	0	0.233225	0.188743
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|g__Escherichia.s__Escherichia_coli	5.18784	10.8416	5.67773	0	0	2.4009	0	0.782278	0	0	0	0	1.37212	0	16.3592	0	0	1.11226	0	0	0	0	0	0	0.615375	0.896365
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|unclassified	0	8.33224	0	0	0	0	0	0	0	0	7.85952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	5.83534	9.68154	6.31915	1.81698	0	7.33956	3.07468	3.89356	0	3.77938	1.07578	3.98401	4.6551	0.406447	15.1208	1.40343	0.574044	0	0	0	0	0	0.431063	0.817542	1.48455	0.828284
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	12.427	31.678	15.6611	1.20302	0	2.19794	4.49118	4.61146	0	4.45452	0	2.77123	9.28525	0	54.1158	0	0.548006	0	0	0	0	0	0	0	3.28963	0
PPGPPMET-PWY: ppGpp biosynthesis	21.587	15.8634	29.7618	47.8692	18.6295	44.093	21.2895	14.5319	21.9606	11.8275	29.2324	13.7221	19.7725	6.17063	11.4749	32.8983	4.4149	15.2563	7.51773	8.63099	2.24496	6.94187	10.6318	6.98151	15.5249	12.7002
PPGPPMET-PWY: ppGpp biosynthesis|unclassified	45.1706	21.1122	87.6783	187.398	56.022	139.216	108.987	54.697	114.179	37.5734	57.7545	56.165	74.1593	30.5247	17.3467	136.72	14.7782	63.0754	30.6972	48.063	14.7208	43.2673	66.8274	35.4074	59.736	65.9393
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	24.812	47.6033	39.9752	3.47843	0	13.1515	5.66159	10.3784	0	7.39436	18.643	6.70423	17.7869	13.1678	56.991	5.99265	29.4505	17.6453	5.69905	9.78662	0	7.78461	7.58305	13.2507	11.6934	4.30567
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.837	0	0	0	0
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0.536515	1.20033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-101: photosynthesis light reactions|unclassified	0	0	0	0	0	0	0	2.47291	3.23971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)	205.951	215.586	274.373	196.465	262.735	280.904	264.358	233.923	254.971	227.539	241.27	248.952	211.703	234.087	191.96	342.002	316.19	246.57	170.385	297.315	347.262	205.831	296.907	273.922	222.342	221.702
PWY-1042: glycolysis IV (plant cytosol)|g__Alistipes.s__Alistipes_senegalensis	0	0	23.5033	0	8.82483	0	0	0	0	0	0	0	5.07294	8.42382	0	12.6571	0	0	0	21.514	16.1013	19.0857	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	13.657	0	4.66329	6.70421	0	0	0	0	2.97288	0	2.27185	0	0	0	0	0	5.63264	0	0	9.24045	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_xylanisolvens	23.7721	26.4895	109.005	3.56996	88.4029	45.3335	23.9816	0	104.797	47.0141	58.2262	29.5511	65.3947	0	0	0	0	0	0	58.5596	9.75153	16.0217	16.7506	32.3854	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	21.2682	61.5938	30.4442	1.47222	0	8.42913	3.29359	6.29547	0	3.23696	1.94942	4.19124	9.20857	0	63.065	0	0	3.54926	0.717655	0	0	0	2.01288	7.31133	3.76814	0
PWY-1042: glycolysis IV (plant cytosol)|g__Pasteurella.s__Pasteurella_pneumotropica	0	0	0	0	0.89124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|unclassified	520.567	881.061	1021.33	776.959	857.973	1150.99	1212.94	852.042	1160.96	1031.25	995.942	1107.86	842.019	1212.98	685.102	1569	1377.26	1002.86	708.719	1531.48	2084.01	1217.04	1796.96	1398.4	889.792	1155.16
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	65.2608	53.4471	105.278	69.0829	83.7207	94.1476	43.5202	32.4477	80.4564	34.5928	82.3658	33.2168	75.4001	16.5022	43.0604	66.2133	48.719	50.1871	9.13307	49.8677	24.5807	27.2725	37.6236	36.8234	41.6973	31.7349
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Alistipes.s__Alistipes_senegalensis	0	0	12.5485	0	8.08585	0	0	0	0	0	0	0	1.66035	6.98394	0	3.94472	0	0	0	8.71067	4.49255	14.6636	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	8.22716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.11469	2.01994	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	1.71668	7.71653	0	7.03985	0	8.48187	0	0	0	0	0	0	0	0	0	0	0	4.26567	3.26251	3.94184	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Escherichia.s__Escherichia_coli	19.9034	45.45	24.4477	3.09991	0	3.96368	1.92496	4.2378	0	0	1.47362	4.24906	10.4803	0	60.9988	1.24619	0.80637	3.25467	1.17669	0	0	0	0	5.58796	2.01101	4.341
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|unclassified	94.3125	102.282	207.788	244.514	144.958	350.195	222.335	124.428	314.689	121.057	253.327	140.301	157.416	68.9093	56.0488	311.223	211.719	188.083	38.2209	129.772	107.87	83.8303	167.605	99.0551	156.122	145.939
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0	0	0	0	1.11807	0	0	0	0	0	0	0	0	0	3.29764	4.77135	0	0	0	2.56291	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)|unclassified	0	0	0	0	4.58988	0	0	0	0	0	0	0	0	0	15.4587	24.6751	0	0	0	14.985	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	2.42832	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24223	0	0	0	3.84265	4.70865	0	2.89428	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|unclassified	0	12.2899	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8646	0	0	0	22.5568	31.316	0	19.2105	0	0	0
PWY-2723: trehalose degradation V	12.1027	9.60821	6.4403	0.491725	0	1.45644	0	1.61668	0	0.547978	0.32873	1.21316	0.732526	0	12.813	2.12384	0	0.805755	0	0	0	0	0	0	0.573897	0
PWY-2723: trehalose degradation V|g__Escherichia.s__Escherichia_coli	12.7296	30.728	11.1766	0	0	2.20879	0	1.0935	0	0	0	0	2.64644	0	35.4516	0	0	0	0	0	0	0	0	0	1.42966	0
PWY-2941: L-lysine biosynthesis II	18.2843	21.3417	30.9835	43.2251	53.3413	40.6203	78.876	53.7549	78.904	79.0217	27.9304	80.4148	24.6661	59.7865	116.732	19.9647	19.8293	36.0838	66.482	35.5743	13.6131	42.9507	42.8603	49.6184	40.3719	34.8971
PWY-2941: L-lysine biosynthesis II|g__Candidatus_Arthromitus.s__Candidatus_Arthromitus_sp_SFB_1	0	0	0	0	0	0	0	0	1.99134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_murinus	1.004	10.2137	7.00606	8.30958	45.6954	8.81596	6.0663	5.18403	7.34092	16.5996	0	3.34605	9.63193	42.9263	260.467	15.4521	14.4815	14.1585	55.4353	75.8134	13.3391	31.6371	48.4341	68.2253	9.57733	17.2951
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	0	20.2413	6.25416	8.40569	3.56941	51.5751	264.708	64.9514	143.587	124.307	23.3925	195.53	11.0161	0	0	16.8676	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|unclassified	48.5044	8.50761	79.9177	131.791	68.1912	16.5505	18.2313	0	69.6063	100.224	20.7011	85.45	54.2456	206.971	0	0	46.2396	74.4504	159.034	0	35.7162	179.101	66.5755	117.665	153.485	117.478
PWY-2942: L-lysine biosynthesis III	275.57	173.714	208.547	253.384	234.506	229.284	124.276	217.507	157.693	168.995	191.746	168.802	204.27	210.104	179.327	214.217	237.177	216.914	205.02	187.834	196.739	149.193	157.646	175.177	216.57	165.99
PWY-2942: L-lysine biosynthesis III|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	1.14898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	9.81661	1.28427	0	46.362	9.23077	10.0806	6.07878	1.53579	12.611	11.6467	19.2843	0	14.6269	0	0	4.65634	0	9.38499	16.072	0	0	2.53335	15.0499	3.49491	11.972	5.22803
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_intestinalis	0	0	3.98132	4.89831	3.38437	0	1.31414	0	0	0	0	0	1.97046	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	6.73164	0.825745	2.72844	2.57338	0	0	2.60818	0	5.31297	0	0	0	0	0	0	0	3.40407	0	0	5.32769	4.61206	0	0
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	269.216	47.8903	71.986	7.37476	126.011	333.833	35.6632	155.219	62.7545	17.1429	186.276	179.268	90.77	19.2049	173.404	329.658	35.8023	204.703	61.8187	63.9336	86.2132	36.3326	140.456	182.642	178.242	97.1218
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	153.089	118.771	42.9547	1.51884	16.5468	10.2253	1.24648	97.749	5.82382	1.54448	23.1414	0	27.6889	23.6532	10.7415	0	15.7776	6.30575	26.2531	48.1635	25.0002	5.04373	0	11.479	18.8376	27.2384
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_xylanisolvens	26.3873	38.2958	120.289	0	96.2544	48.2048	23.9119	0	114.011	62.7768	79.0571	35.0997	101.716	0	0	0	0	0	0	69.593	0	32.7165	16.4272	42.3549	0	0
PWY-2942: L-lysine biosynthesis III|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.980001	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Candidatus_Arthromitus.s__Candidatus_Arthromitus_sp_SFB_1	0	0	0	0	0	0	0	0	1.63493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Clostridium.s__Clostridium_sp_ASF356	0	0	0	8.03281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0	2.91001	0	0	0	0	0	0	6.92942	0	0	0	0	0	0	6.15383	4.84187	0	0	0	0	0	5.20747	0
PWY-2942: L-lysine biosynthesis III|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	1.20139	4.00064	4.86642	4.6101	2.67466	7.08978	1.11628	8.21583	8.29613	7.29602	3.42881	1.04209	0	8.51182	15.6215	6.19779	5.90274	4.11974	6.15534	3.02721	2.97983	8.20125	6.65944	4.94664	2.88805
PWY-2942: L-lysine biosynthesis III|g__Escherichia.s__Escherichia_coli	0	0	1.92442	0	0	2.05714	0	1.41319	0	0	0	0	1.62769	0	10.1391	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_murinus	0	11.5487	4.08809	9.66174	40.7429	8.87278	3.28653	3.98797	5.01646	14.0708	0	2.00628	9.97666	42.5735	261.415	16.2615	14.8104	10.4488	53.8573	79.4145	13.4564	31.618	45.5387	65.5366	10.0959	14.6628
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	0	19.2414	6.40094	8.87975	3.0002	44.6798	256.499	62.9976	131.867	118.494	20.4737	189.488	9.17313	0	0	15.2259	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Mucispirillum.s__Mucispirillum_schaedleri	19.1156	8.20671	5.78021	112.966	5.73183	7.82888	0	57.6918	2.31018	5.09245	1.32596	6.0141	51.2447	100.072	0	0.730614	7.28376	7.15754	74.1521	0	0	9.71093	0	2.89338	6.99483	7.69874
PWY-2942: L-lysine biosynthesis III|g__Parabacteroides.s__Parabacteroides_distasonis	29.0909	105.467	56.6986	0	45.5229	0	0	56.9825	0	0	23.9602	0	0	93.3625	23.9453	0	44.9733	14.2461	0	70.224	94.5772	103.298	0	0	0	33.8395
PWY-2942: L-lysine biosynthesis III|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0.859788	0	0	0	0	0	3.29966	0	0	4.3977	0	0	0.961595	0	0	0	0	0	2.36237	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Parabacteroides.s__Parabacteroides_merdae	6.15943	5.29723	1.29343	0	4.08023	4.39444	0	15.4969	4.93339	4.85295	11.428	2.52259	4.49235	10.9163	2.54084	7.86105	1.66081	0.710393	6.69114	32.5558	2.38375	42.8149	8.10954	3.9394	3.43836	0
PWY-2942: L-lysine biosynthesis III|unclassified	384.786	435.732	570.61	781.397	503.143	652.641	373.483	497.58	558.491	707.473	562.1	524.914	593.957	760.182	411.878	736.382	950.602	679.998	572.967	553.883	900.444	508.932	628.951	576.468	631.912	645.396
PWY-3001: superpathway of L-isoleucine biosynthesis I	93.6126	69.5075	80.0438	94.2689	96.7762	106.825	93.6	86.7952	92.3789	87.4589	92.9294	87.4799	93.2707	91.7004	120.33	96.3657	85.791	86.6267	93.1803	63.5962	84.8603	61.7265	87.3026	86.6452	93.5099	82.2717
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Escherichia.s__Escherichia_coli	7.1171	17.2084	15.1289	0	0	4.58747	0	0	0	3.22698	0	0	7.68262	0	42.1994	0	0	0	0	0	0	0	0	0	2.77435	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	113.498	130.8	181.138	184.95	131.761	146.409	106.468	188.639	167.299	248.009	159.825	189.936	161.471	439.091	97.8598	199.621	303.088	235.255	252.757	80.3197	396.859	225.011	207.572	219.176	292.947	291.147
PWY-3781: aerobic respiration I (cytochrome c)	36.7846	19.5468	28.3539	19.6405	19.9916	35.7018	0	39.8059	5.36043	10.8455	8.25216	8.73954	81.777	31.4038	36.0752	9.45725	28.9243	43.4986	41.9216	3.8428	0.243241	37.9885	9.10379	3.58142	12.2211	25.7654
PWY-3781: aerobic respiration I (cytochrome c)|g__Helicobacter.s__Helicobacter_hepaticus	11.4722	0	7.64865	8.75581	1.70817	11.8546	0	16.8377	0	9.77051	1.50414	1.65292	41.3076	14.5257	13.0103	0	14.2859	16.9662	28.7308	0	0	21.6877	0	1.59336	2.13645	10.9713
PWY-3781: aerobic respiration I (cytochrome c)|unclassified	97.5393	84.6092	106.242	56.9047	66.8814	143.898	0	151.134	25.2547	49.7972	35.0663	44.4778	306.7	153.635	137.337	42.184	109.402	165.848	167.329	20.5403	0	192.956	52.1085	15.2561	47.5014	112.538
PWY-3841: folate transformations II	237.839	135.368	153.856	44.5002	187.493	181.367	130.021	167.45	121.602	105.236	154.253	140.205	127.848	86.2229	153.464	186.099	131.382	160.751	92.3705	133.132	78.8802	89.8201	85.0696	127.556	144.21	88.7033
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_intestinalis	0	0	4.53574	2.7174	2.03078	0	0	0	0	0	0	0	0.811396	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	14.7462	0	0	9.93569	0	0	0	0	0	0	0	0	0	0	0	0	3.75826	5.00977	9.91927	12.0007	0	0	0
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis	298.98	40.5944	82.5511	8.57535	127.071	316.741	54.9405	150.767	53.3212	17.9947	198.717	163.492	73.1109	17.6438	176.292	327.527	33.2015	197.879	61.048	65.0298	86.0045	35.0409	115.681	186.14	190.798	92.3086
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_vulgatus	169.529	130.684	51.7952	0	12.4704	7.53131	0	100.101	7.85995	0	24.3181	0	19.9183	28.9202	10.5766	0	15.2191	2.42016	32.7949	68.6099	26.9151	13.9816	4.84168	12.6324	25.506	28.4761
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	7.80003	2.86789	15.7649	0	8.14425	0	3.5069	0	5.52893	3.50178	6.44776	0	0	0	0	0	0	2.85609	4.87607	4.51992	2.09598	6.08542	0	0
PWY-3841: folate transformations II|g__Escherichia.s__Escherichia_coli	10.5785	22.4289	7.43393	0	0	1.89851	1.25805	1.39895	0	0	0	0	3.66225	0	35.5394	0	0	0	0	0	0	0	0	0	1.49321	0
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_reuteri	0	17.2214	4.10359	8.66284	4.84617	54.8352	278.477	66.3787	141.077	138.754	28.8726	193.931	17.1948	0	0	19.3488	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	21.5684	109.318	54.7807	0	47.7468	0	0	61.8233	0	0	18.7839	0	0	105.128	30.826	0	47.2274	14.8479	0	71.2484	115.14	96.3874	0	0	0	25.4657
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0.848246	0	0	0	0	0	0	0	0	1.21386	0	0	0	0	0	2.96582	0	0	0	0	2.8777	6.95531	0	0	0
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_merdae	3.97009	0	1.01669	0	2.59346	0	0	7.62588	1.42642	2.12347	7.36614	0	1.67265	8.05365	3.28553	7.898	0.768762	0.852838	6.31679	24.6331	0	27.3808	5.60568	0	0	0
PWY-3841: folate transformations II|unclassified	164.685	163.346	404.919	64.5302	332.341	302.007	205.695	237.941	373.105	240.893	274.873	271.688	338.272	114.334	211.416	355.101	422.395	369.219	168.505	312.961	108.447	234.243	221.218	280.211	316.809	218.229
PWY-4041: &gamma;-glutamyl cycle	7.09723	11.9135	9.03616	1.30164	0	2.51272	0.885713	1.80844	0	1.22664	2.08953	0.685205	3.67151	0.164166	28.2137	0.267377	0	0	1.54883	0	0	0	0.78061	1.14245	1.65346	0.389752
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	20.4782	50.2249	28.6294	2.61839	0	10.4061	3.66153	5.45282	0	4.9788	5.50096	3.13714	12.3589	0.742352	80.7501	1.12889	0	0	2.85858	0	0	0	0.991796	4.94591	5.97955	1.84342
PWY-4242: pantothenate and coenzyme A biosynthesis III	17.5774	27.0759	34.466	11.9124	29.1697	29.5434	56.495	29.5206	49.2455	38.7981	28.3224	47.4299	25.1325	7.427	20.1527	14.9759	15.1994	11.9675	2.27237	14.4728	4.84686	5.56973	3.77223	10.4559	13.1363	6.68199
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619758	0	0	0	0	0	0	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_xylanisolvens	10.4976	17.355	58.5391	2.34668	51.5006	23.7178	16.8867	0	63.1257	21.7314	34.4145	11.8153	42.7504	0	0	0	0	0	0	34.9993	4.39011	17.7757	4.09001	14.6559	0	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Escherichia.s__Escherichia_coli	9.10052	46.1467	28.8086	3.01062	0	4.70652	3.96766	1.74671	0	3.26645	0	0	3.76678	0	46.5444	1.38264	0	0	0	0	0	0	0	2.82836	2.23728	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	0	18.5315	2.35022	8.30782	3.1421	49.6969	263.755	63.9945	134.046	117.63	31.9317	169.49	10.9916	0	0	14.9559	0	0	0	0	0	0	0	0	0	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|unclassified	27.5816	13.3773	44.5499	0	44.5372	35.6652	7.86476	20.6224	53.6083	25.2013	43.5252	30.8773	36.7726	33.4457	21.5776	46.4207	65.0593	48.0918	9.00833	35.8329	19.6426	8.17063	18.1838	33.171	47.0885	32.0486
PWY-4702: phytate degradation I	3.49256	7.26295	3.66119	0.628826	0	0.544661	1.0035	1.13083	0	0.524371	0.419728	1.26154	1.17088	0.185545	10.692	0.607051	0	0.343069	0	0	0	0	0	0.652144	0.274753	0.449242
PWY-4702: phytate degradation I|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0.732399	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4702: phytate degradation I|g__Escherichia.s__Escherichia_coli	11.5091	37.9025	17.3845	2.68005	0	1.85846	6.62475	2.26073	0	2.89729	2.06078	7.79383	3.43679	1.03833	47.0504	3.14664	0	1.50704	0	0	0	0	0	3.51057	0	1.52483
